input_row_key,input_company_name,company_name,veridion_id,match_score,input_main_country,main_country,input_main_city,main_city,website_url,primary_email,employee_count,revenue,qc_flags
0,24-SEVEN MEDIA NETWORK (PRIVATE) LIMITED,New Millennium Network,26e22210-93e5-11eb-b997-8dd98d09cf25,65.16,Pakistan,Pakistan,Karachi,Karachi,https://www.mnet.com.pk/,,23.0,311793.0,missing_email
1,2OPERATE A/S,2operate,8b99ef83-93e4-11eb-b997-8dd98d09cf25,78.0,Denmark,Denmark,Aalborg,Aalborg Municipality,https://www.2operate.com/,info@2operate.com,75.0,28698964.0,missing_year_founded
2,3 STEP IT A/S,3 Step IT A/S.,45309031-f8ab-11ed-89fe-613148a94f23,87.78,Denmark,Denmark,Tønder Municipality,Gladsaxe Municipality,http://www.3stepit.dk/?opi=79508299&sa=U&ved=0ahUKEwiKsvSF7tyMAxWo78kDHfZKCtQQ61gIFCgQ&usg=AOvVaw1O2VrP_KM3o5n9XzsuUwLL,,,,"missing_email, missing_year_founded"
3,3 STEP IT AS,3 Step IT A/S.,45309031-f8ab-11ed-89fe-613148a94f23,60.38,Norway,Denmark,Oslo,Gladsaxe Municipality,http://www.3stepit.dk/?opi=79508299&sa=U&ved=0ahUKEwiKsvSF7tyMAxWo78kDHfZKCtQQ61gIFCgQ&usg=AOvVaw1O2VrP_KM3o5n9XzsuUwLL,,,,"missing_email, country_mismatch, missing_year_founded"
4,3 Step IT Sweden AB,Proact IT Sweden,e5cede70-0409-11ed-a83d-25d09483d16d,67.71,Sweden,Sweden,Linköping,Gothenburg,http://www.proact.se/,support.nordic@proact.eu,130.0,7000000.0,ok
5,"3DEGREES GROUP, INC.",3Degrees Inc.,df61d790-93e4-11eb-aa66-9b8d95e2171b,87.27,United States,United States,San Francisco,San Francisco,http://3degreesinc.com/,unsubscribe@3degreesinc.com,,,ok
6,3Step IT Group Oy,3Step IT Group,359bd116-93e5-11eb-b5f6-816dd10ac7b0,94.19,Finland,Finland,Helsinki,Helsinki,https://sg.3stepit.com/,3stepit@3stepit.com,600.0,111438832.0,ok
7,A.T. KEARNEY AB,AT RÖRSERVICE,08330b7d-aeb0-11ef-ac6a-636c4f5076ef,55.71,Sweden,Sweden,,Stockholm,https://www.vvshagersten.se/,info@atrorservice.se,25.0,3987137.0,ok
8,A. T. KEARNEY PTE. LTD,ATKEARNEY,4f44b02e-17aa-11f0-87dc-2b7a69541cf4,45.97,Singapore,,,,https://atkearney.top/#/,,,,"missing_email, country_mismatch, missing_year_founded"
9,AALBORG CITY,AALBORG CITY,272b8711-93e5-11eb-8e19-198fb02d6f96,100.0,Denmark,Denmark,Aalborg,Aalborg,https://aalborgcity.dk/,event@aalborgcity.dk,75.0,16195217.0,missing_year_founded
